Incident Date,State,City Or County,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,FIPS state,Population state,FIPS county,Population county
2024-08-30,New Jersey,Wayne,0,2,0,0,1,34000,9288994.0,34031,524118.0
2024-08-30,North Carolina,Ramseur,0,0,0,0,1,37000,10439388.0,37151,144171.0
2024-08-30,North Carolina,Maxton,0,0,0,0,1,37000,10439388.0,37155,116530.0
2024-08-30,Michigan,Romulus,0,0,0,0,1,26000,10077331.0,26163,1793561.0
2024-08-30,Florida,Daytona Beach,0,0,0,0,1,12000,21538187.0,12127,553543.0
2024-08-30,Maryland,Baltimore,0,0,0,0,0,24000,6177224.0,24510,585708.0
2024-08-29,Kentucky,Louisville,0,2,0,0,1,21000,4505836.0,21111,782969.0
2024-08-29,Michigan,Royal Oak,0,0,0,0,1,26000,10077331.0,26125,1274395.0
2024-08-29,Texas,Austin,0,0,0,0,1,48000,29145505.0,48453,1290188.0
2024-08-29,Florida,Tallahassee,0,0,0,0,1,12000,21538187.0,12073,292198.0
2024-08-28,Indiana,Columbus,0,0,0,0,0,18000,6785528.0,18005,82208.0
2024-08-28,North Carolina,Charlotte,0,0,0,0,1,37000,10439388.0,37119,1115482.0
2024-08-28,Maryland,Baltimore,0,0,0,0,1,24000,6177224.0,24510,585708.0
2024-08-27,Arizona,Phoenix,0,0,0,0,1,04000,7151502.0,04013,4420568.0
2024-08-27,Mississippi,Decatur,0,0,0,0,1,28000,2961279.0,28101,21291.0
2024-08-27,Georgia,Warner Robins,0,0,0,0,1,13000,10711908.0,13153,163633.0
2024-08-27,North Carolina,Charlotte,0,0,0,0,1,37000,10439388.0,37119,1115482.0
2024-08-27,Tennessee,Nashville,0,0,0,0,1,47000,6910840.0,47037,715884.0
2024-08-27,Texas,Bellaire,0,0,0,0,1,48000,29145505.0,48201,4731145.0
2024-08-27,Tennessee,Chattanooga,0,0,0,0,1,47000,6910840.0,47065,366207.0
2024-08-26,Indiana,Avon,0,0,0,0,0,18000,6785528.0,18063,174788.0
